	d10_1	d10_2	d10_3	d10_4	d13_1	d13_2	d13_3	d19_1	d19_2	d7_1	d7_2
ENSBTAT00000015602	2.86915803	0	0	0	0	0	0	0	0	3.485919064	9.435917725
ENSBTAT00000015606	8.401034671	0.38059862	2.949269151	0.955310927	1.801089682	2.546592027	3.524743884	0.045683524	0.112175144	6.999045301	15.90067209
ENSBTAT00000015608	18.88002311	35.17570939	45.67123632	27.80252617	37.85203765	41.59610942	48.31115726	15.81066233	21.52901957	47.59742438	41.24650079
ENSBTAT00000015611	0	1.980500492	0.043599297	0.045191817	0	0	0	0	0.010613086	0.137956645	2.080539838
ENSBTAT00000015615	20.35110319	17.28716036	22.32644668	30.37380755	25.62157597	21.08155202	26.36428231	29.84527569	46.60322176	20.31049889	27.65964361
ENSBTAT00000015617	3.64489335	0	18.8937555	5.802629337	3.703629631	6.549031467	5.592048063	1.213997352	10.73142215	6.642612439	0
ENSBTAT00000015618	0	0	3.40428027	0	0	0.43347147	0.277597532	0	0.118383035	9.232974818	0
ENSBTAT00000015619	56.56759679	62.66391452	106.5191255	32.07437633	45.66837797	36.46536081	60.46205397	53.1673486	35.48974255	45.1906862	27.30472255
ENSBTAT00000015620	10.29146358	12.23885758	2.222794765	6.65595718	3.519286075	9.025555971	3.52440004	7.161564211	3.667320736	1.562967633	0
ENSBTAT00000015621	28.21852916	0	0	18.25020517	11.57958644	11.46835003	7.730942022	9.063021706	8.901640495	34.2844513	74.57418847
ENSBTAT00000015622	5.399841999	0	4.146777613	3.223682965	0	5.544153622	3.846382265	2.697771893	6.561245761	9.840907316	0
ENSBTAT00000015624	19.74048434	4.603110153	20.95590581	24.60982398	25.77665715	23.74541371	27.74108293	7.07218685	17.63697699	24.68935597	36.82513023
ENSBTAT00000015625	11.57789652	27.53742956	7.5575022	21.50386166	26.60580273	20.27448061	21.99225625	8.26334332	24.67325295	27.6645271	13.5988226
ENSBTAT00000015626	7.181182397	16.13117897	3.561607908	10.59875213	8.185630426	9.677194566	12.13233726	7.374784765	4.894233271	9.451938648	0
ENSBTAT00000015628	1.374854994	7.412049123	0	0	0	0	0	0.052333738	0.051401854	7.349747208	5.038289682
ENSBTAT00000015629	9.991078217	0	0	12.26063178	28.63407524	20.23123571	21.53283192	7.764653114	7.626391378	14.16191484	0
ENSBTAT00000015631	0	0	0	1.753541833	1.001827119	1.987670461	4.740511702	0.991018247	1.010808994	0	0
ENSBTAT00000015633	0	0	0	0.155633436	0.774309527	0.133830728	0	0.099233085	0.024366521	1.266935353	2.939507085
ENSBTAT00000015635	47.346831	29.29742956	30.24065067	53.268505	33.93862764	26.87502771	26.72754122	56.19952606	45.48450694	58.36644208	48.50385025
ENSBTAT00000015638	23.00814718	9.94976201	11.64546035	19.07745432	11.28073572	10.6780929	11.53726024	18.21272481	31.28029533	11.85928682	13.75778865
ENSBTAT00000015639	15.84968265	0	0	0.573466296	1.126230432	3.534093534	2.000084122	0	0.044891956	15.75553756	30.46295547
ENSBTAT00000015641	0	0	0	0	0	0	0.157325516	0.068308698	0.067092355	1.308173128	0
ENSBTAT00000015642	0	0	0	0	0	0.730073698	1.558477474	0	0	0	0
ENSBTAT00000015643	53.12427605	40.02142303	43.10397567	24.06128146	39.26868966	44.09592825	49.36604925	26.9241551	22.01855058	78.27054813	75.89298946
ENSBTAT00000015645	0	7.018535271	0	0.489352174	0	0	0.323378235	0.046802211	0.09193765	0	0
ENSBTAT00000015646	9.095390059	1.442194401	6.635514871	1.538474391	0.28436798	0.233461645	0	0.432769059	0.12751888	12.15561241	5.127836989
ENSBTAT00000015648	20.06363312	25.45083534	64.71255707	50.3071993	59.74945192	56.47788604	53.64848207	27.49393741	30.56744099	12.1882797	45.24623545
ENSBTAT00000015650	2.36189089	27.46399642	6.650601936	5.796826707	4.061457232	6.601423718	7.24729429	2.62223428	3.311410264	1.913072382	0
ENSBTAT00000015654	4.197036866	6.38875882	1.224774324	5.211675786	6.849717348	5.573236312	6.402359458	2.795797382	4.864367404	8.362756704	6.152179724
ENSBTAT00000015657	0	0	0	0	0	0	0	0	0	0	0
ENSBTAT00000015658	9.727025226	0	3.734906545	6.227789759	5.288975573	6.151401648	7.322633997	3.622092904	10.79137423	1.027649539	0
ENSBTAT00000015659	0	4.801397975	0	0.602580739	0	0	0.331835819	0	0	1.839492675	3.556615142
ENSBTAT00000015660	18.58041336	27.42986148	10.57853498	10.58243192	14.32263021	10.41559134	13.90210609	12.55999493	8.26415322	20.23920977	13.5457022
ENSBTAT00000015661	0	0	4.22679094	0.65717698	0	0.188370991	0	0.104755284	0	2.674877492	9.309261111
ENSBTAT00000015662	5.788948261	6.119428792	2.037561868	5.56796418	4.072316744	5.861107993	6.555384074	3.167614939	1.758510353	0.586112862	0
ENSBTAT00000015663	29.26754511	4.972239008	12.4419845	14.24849039	10.37603334	7.51243121	9.049266761	2.188345124	4.201057455	36.82892929	31.67521824
ENSBTAT00000015667	1.098349558	7.83710328	1.054339035	4.207472932	19.78840918	7.189107405	14.56411115	2.430123845	2.694832572	3.336133479	0.774040126
ENSBTAT00000015668	28.63928033	0.998052026	7.371404449	7.891167654	0.245991489	0.753965887	0.758754751	78.34717069	20.85589558	11.47109279	22.17908387
ENSBTAT00000015669	184.1292872	268.6709768	200.620261	168.8013021	192.9598935	175.6748267	261.4533711	191.6954698	154.4991374	137.0304378	163.4033364
ENSBTAT00000015671	0	0	0	0	0	0	0	0	0	0	0
ENSBTAT00000015673	0	0	1.451504904	1.379146057	0.196982173	0.32343854	1.104703111	0	0	0	0
ENSBTAT00000015674	0	0.563747956	0.682577872	0	0	0	0.467543242	0	0	0	0
ENSBTAT00000015675	26.28528858	0	0	0	0	0	0	0	0	8.941978283	0
ENSBTAT00000015677	15.38712462	28.03211393	4.022622595	10.42388504	4.043114798	2.80112552	5.812094437	61.0321851	28.06020563	5.17089591	1.384311283
ENSBTAT00000015679	0	0	0	0	0	0	0	0	0	1.16480296	0
ENSBTAT00000015680	5.290974217	2.097384868	23.61719438	9.47606807	12.92364558	17.20252505	17.10470922	4.531510853	7.727118486	16.07083654	11.18612827
ENSBTAT00000015681	0	4.01145075	11.65681573	10.32055057	5.536768837	9.524114803	18.85236916	4.092727026	7.212083195	27.66332172	14.26303245
ENSBTAT00000015682	34.76343368	6.013311529	5.3392758	17.29468643	22.03404378	18.33296174	28.26039153	10.64628561	11.34287395	18.04640373	20.9353743
ENSBTAT00000015683	0	0	0	0	0.53557207	0.732827094	0.750890452	1.059587394	1.280885897	0	0
ENSBTAT00000015684	42.50664357	63.73686749	42.22266487	29.78955483	19.7179155	26.24883437	31.39198007	23.43478993	11.91900408	47.71454005	57.95779887
ENSBTAT00000015686	0	1.534370051	2.600910295	0.192565133	0.756357311	0.496765977	1.90879011	1.105029195	0.271338108	0	0
ENSBTAT00000015687	9.03751844	19.95989483	14.00455475	7.258044484	9.183155137	7.180215355	16.05850282	4.300154609	8.115314321	9.803790086	2.729576725
ENSBTAT00000015688	0	3.736720167	0	0.187585	1.105194519	1.451755744	0	0.044852119	0.044053457	0	1.992930899
ENSBTAT00000015689	16.18804023	0	1.714691367	0.666495996	1.221669358	0.477605406	0	6.374445216	1.356536631	4.747414448	17.30899485
ENSBTAT00000015694	7.759768309	0	0	0.54500577	0.285423148	0.390546536	0.300129799	0.043437488	0.255984096	1.663734099	2.573432107
ENSBTAT00000015695	262.2828722	295.028953	214.7604555	180.671275	239.5256107	225.3693712	210.5343315	344.0989175	144.7851489	164.7791559	195.8973898
ENSBTAT00000015696	16.34752831	20.73693478	7.113927874	16.69942745	22.48868899	16.41143149	21.97539533	9.126586643	7.334242003	13.24108792	1.53607963
ENSBTAT00000015698	50.83148563	9.372098149	38.58184306	24.93562337	28.36626104	40.45733725	21.76364652	16.03038974	10.88334705	40.21473476	35.82248405
ENSBTAT00000015699	2.762445486	3.650185595	1.458465337	5.726278951	4.768235719	3.584733013	4.137274657	1.960651362	2.990812389	6.572690202	6.327031148
ENSBTAT00000015700	8.80645373	0	0	12.26730363	7.571695064	0	18.33634168	0.419021138	0.823119628	29.42365241	34.13395741
ENSBTAT00000015701	6.116007485	1.763225245	12.595837	19.25194394	17.99181748	22.07324891	16.69490378	15.55562709	33.83126306	16.21247782	26.64447276
ENSBTAT00000015703	16.08041184	21.32528215	23.12604654	38.80702307	75.09333793	84.25186394	65.55384074	22.48074546	37.60233482	19.89231532	9.477967269
ENSBTAT00000015704	0	0	0	0	0	0	0.441994431	0	0	0	0
